Company,Job_Title,Job_URL,Country,City,Sector,Tech_Stack,Source,Reason_Match,Hiring_Confidence,Language_Requirement,Scraped_At
Baptistcare - WA,AI Solutions Architect,https://au.indeed.com/viewjob?jk=4118b7d67d69d960,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Baptist Care,AI Solutions Architect,https://au.indeed.com/viewjob?jk=393b3c24732aa5c9,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
oOh!,Agile Delivery Lead,https://au.indeed.com/viewjob?jk=f10c653060ed048a,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Lab3,Technical Client Services Manager,https://au.indeed.com/viewjob?jk=c7b75677170632be,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
SoftwareOne,Presales ITAM & FinOps,https://au.indeed.com/viewjob?jk=13bbf0f36374b5d6,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
NSW Government,Senior Quality Assurance Engineer,https://au.indeed.com/viewjob?jk=f133480c2e20fc5d,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Xero,Machine Learning Engineer,https://au.indeed.com/viewjob?jk=82f8e3a0c20d6e3a,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Commonwealth Bank of Australia,Senior Data Scientist,https://au.indeed.com/viewjob?jk=da0cc08165a3738d,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Vivanti Consulting,Senior Data Engineer,https://au.indeed.com/viewjob?jk=14f45cd54541ac3a,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
GOFAR,Senior Backend Developer,https://au.indeed.com/viewjob?jk=02185a26a32778b3,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Airbus,Engineering Graduate,https://au.indeed.com/viewjob?jk=6f773e447291a21b,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Macquarie Group,Product Owner | Machine Identity,https://au.indeed.com/viewjob?jk=07702ad023b80efe,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Corto Pty Ltd,Senior Software Engineer (Python/AI),https://au.indeed.com/viewjob?jk=256329ce640c7510,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Amazon.com,Data Center Technical Operations Engineer,https://au.indeed.com/viewjob?jk=8b29895b69413825,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Resmed,Senior Signal Processing Engineer,https://au.indeed.com/viewjob?jk=899f2d941e23e986,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
Open,Head of Engineering,https://au.indeed.com/viewjob?jk=5cf1c00e53965756,Australia,Sydney,Tech,Unknown,Indeed/LinkedIn Australia,"Actively hiring in Sydney, Australia",High,English,2026-06-17
